Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-08 09:37:20.626 -0700,"Failure",0:00:01,1,0,0,"20170808_093720.626/LogFile.txt","","STInvalidNumber -- Value is not a number: 'ushqkptst'",0
2017-08-08 10:40:28.367 -0700,"Failure",0:00:00,1,0,1,"20170808_104028.367/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: image0001",0
2017-08-08 10:46:57.761 -0700,"Failure",0:00:19,1,0,1,"20170808_104657.761/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""UsernameField""",0
2017-08-08 10:51:01.629 -0700,"Success",0:00:03,0,0,0,"20170808_105101.629/LogFile.txt","","",1
2017-08-08 10:53:11.521 -0700,"Success",0:00:07,0,0,0,"20170808_105311.521/LogFile.txt","","",1
2017-08-08 10:56:31.330 -0700,"Failure",0:00:00,1,0,1,"20170808_105631.330/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: IELink",0
2017-08-08 10:56:49.357 -0700,"Failure",0:00:00,1,0,1,"20170808_105649.357/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: KPackLink",0
2017-08-08 10:57:21.376 -0700,"Success",0:00:07,0,0,0,"20170808_105721.376/LogFile.txt","","",1
2017-08-08 11:13:03.922 -0700,"Success",0:00:07,0,0,0,"20170808_111303.922/LogFile.txt","","",1
2017-09-19 14:52:44.654 -0700,"Success",0:11:19,0,0,0,"20170919_145244.654/LogFile.txt","","",1
2017-09-22 07:41:08.473 -0400,"Failure",0:01:32,1,0,1,"20170922_074108.473/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""KPack/Login/LocationDropdown""",0
